Location Type,Name,Address,City,State,Zip,Phone,Latitude,Longitude
AMBEST Travel Center,Casey's General Store #3548-Pratt,US Hwy 400,Pratt,KS,67124,(620) 672-2605,37.6464,-98.715239
AMBEST Fuel Stop,Casey's General Store #3554-Mulberry Grove,I-70 Exit 52,Mulberry Grove,IL,62262,(618) 326-7003,38.918059,-89.26958
AMBEST Fuel Stop,Casey's General Store #3588-Tipp City,I-75 Exit 69,Tipp City,OH,45371,(937) 335-5116,39.98758,-84.200109
AMBEST Travel Center,Casey's General Store #3854-Manchester,US Hwy 20,Manchester,IA,52057,(563) 927-2014,42.46864,-91.48287
AMBEST Fuel Stop,Casey's General Store #3905-Shelbyville,I-74 Exit 113,Shelbyville,IN,46176,(317) 398-7814,39.548439,-85.77548
AMBEST Travel Center,Casey's General Store #3934-Ankeny,I-35 Exit 89,Ankeny,IA,50021,(515) 266-3226,41.678319,-93.57016
AMBEST Travel Center,Casey's General Store #3944-Tea,I-29 Exit 73,Tea,SD,57064,(605) 368-9892,43.45526,-96.83623
AMBEST Fuel Stop,Casey's General Store #3956-Bridgman,I-94 Exit 16,Bridgman,MI,49106,(269) 234-7315,41.932209,-86.569479
AMBEST Fuel Stop,Casey's General Store #4204-Knoxville,Hwy 168,Knoxville,TN,37914,(865) 328-0939,35.960509,-83.823279
AMBEST Express,Casey's General Store #4225-Nashville,Hwy 155 Exit 26,Nashville,TN,37209,(615) 588-2867,36.172049,-86.865319
AMBEST Travel Center,Casey's General Store #4390-Lamar,I-49 exit 77,Lamar,MO,64759,(417) 202-8359,37.49213,-94.29751
AMBEST Travel Center,Casey's General Store #6342-St Joseph,I-29 Exit 44,St Joseph,MO,64503,(816) 279-9299,39.724679,-94.79097
AMBEST Fuel Stop,Casey's General Store #6445-Lombard,I-355 Exit 27,Lombard,IL,60148,(630) 424-1375,41.903599,-88.042429
AMBEST Fuel Stop,Casey's General Stores #4453-Lexington,I-75 Exit 120,Lexington,KY,40511,(859) 465-3135,38.148629,-84.53416
AMBEST Express,Castaic Truck Stop,I-5 Exit 176,Castaic,CA,91384,(661) 295-1374,34.493169,-118.61932
AMBEST Fuel Stop,Certified Oil #410 - Ravenna,I-76 Exit# 43 Hwy 14,Ravenna,OH,44266,(330) 325-9484,41.10472,-81.153509
AMBEST Fuel Stop,Certified Oil #489 - Columbus,I-71 Exit 104 Hwy 104,Columbus,OH,43223,(614) 340-7031,39.91494,-83.020319
AMBEST Travel Center,Charlotte Travel Plaza,I-77 Exit 16B at Sunset Rd,Charlotte,NC,28216,(704) 879-6229,35.30821,-80.84994
AMBEST Fuel Stop,Chesapeake House A Sunoco,I-95 Exit 96,Northeast,MD,21901,(410) 287-5641,39.61135,-76.01018
AMBEST Travel Center,Chiricahua Apache Plaza,I-10 Exit 102,Deming,NM,88030,(575) 544-0073,32.241439,-107.41952
AMBEST Fuel Stop,Choctaw Nation Broken Bow 635,1800 S Park Dr,Broken Bow,OK,74728,(580) 584-5528,34.004519,-94.740279
AMBEST Express,Choctaw Nation Durant West 632,4305 Choctaw Rd,Calera,OK,74730,(580) 924-7210,33.95261,-96.418329
AMBEST Express,Choctaw Nation Grant 633,Rt. 1 Box 17,Grant,OK,74738,(580) 326-7595,33.93836,-95.525899
AMBEST Express,Choctaw Nation Poteau 638,4105 N Broadway,Poteau,OK,74953,(918) 647-3392,35.09763,-94.632739
AMBEST Express,Choctaw Nation Stringtown 641,897 N Hwy 69,Stringtown,OK,74569,(580) 346-7478,34.48944,-96.050089
AMBEST Express,Chrome Truck Stop,US Hwy 18/US Hwy 169,Algona,IA,50511,(515) 295-9191,43.0839,-94.235399
AMBEST Travel Center,Chubbys Travel Center,I-35S Exit 27,Natalia,TX,78059,(830) 227-0166,29.18591,-98.84493
AMBEST Travel Center,Cimarron Travel Plaza,I-35 Exit 203 at Hwy 15,Billings,OK,74630,(580) 725-3252,36.53513,-97.34005
AMBEST Fuel Stop,Circle K - Whitestown,I-65 Exit 130,Whitestown,IN,46075,(317) 769-7691,39.94966,-86.347729
AMBEST Express,Circle K #200 - Jefferson,I-85 Exit 140,Jefferson,GA,30549,(706) 367-8148,34.185879,-83.59058
AMBEST Fuel Stop,Circle K #2701524-Pilot Mountain,US Hwy 52,Pilot Mountain,NC,27041,(336) 368-1083,36.37574,-80.48842
AMBEST Fuel Stop,Circle K #2720931-Kenly,I-95 Exit 107,Kenly,NC,27542,(919) 284-3199,35.593559,-78.12993
AMBEST Fuel Stop,Circle K #2723046-Hope Mills,I-95 Exit 41,Hope Mills,NC,28348,(910) 423-4436,34.93518,-78.921229
AMBEST Travel Center,Circle K #2723123-Dunn,I-95 Exit 71,Dunn,NC,28334,(910) 892-3642,35.2704,-78.61561
AMBEST Fuel Stop,Circle K #2723471-Wilson,I-95 Exit 121,Wilson,NC,27893,(252) 237-7200,35.76323,-78.000399
AMBEST Fuel Stop,Circle K #2723707-Troutville,I-81 Exit 150A,Troutville,VA,24175,(540) 992-5062,37.3866,-79.903599
AMBEST Express,Circle K #2723708-Wytheville,I-81 Exit 77,Wytheville,VA,24382,(276) 228-6680,36.935899,-80.995099
AMBEST Fuel Stop,Circle K #4701677-Sullivan,I-44 Exit 226,Sullivan,MO,63080,(573) 468-5246,38.22354,-91.152559
AMBEST Fuel Stop,Circle K 1251 - Bloomington,I-55 Exit 160 & US150,Bloomington,IL,61705,(309) 827-6755,40.48686,-89.045659
AMBEST Travel Center,Circle K 1398 - Divernon,I-55 Exit 82,Divernon,IL,62530,(217) 628-1127,39.59022,-89.65255
AMBEST Fuel Stop,Circle K 1408 - Rochelle,I-39 at Rt 38,Rochelle,IL,61068,(815) 561-1603,41.935929,-89.03515
AMBEST Travel Center,Circle K 1424 - Morton,I-74 EXIT 150,Morton,IL,61550,(309) 263-4057,40.62633,-89.46499
AMBEST Fuel Stop,Circle K 2408 - Lafayette,I-65 Exit 168,Lafayette,IN,47905,(765) 446-9259,40.37382,-86.780259
AMBEST Fuel Stop,Circle K 2411 - Danville,260 S Road 200 E,Danville,IN,46122,(317) 745-3127,39.75782,-86.48744
AMBEST Fuel Stop,Circle K 3626 - Sweetwater,I-75/HWY 68 Exit 60,Sweetwater,TN,37874,(423) 337-9577,35.601199,-84.52664
AMBEST Fuel Stop,Circle K 3701 - Smyrna,I-24 Exit 70,Smyrna,TN,37167,(615) 223-1236,35.93184,-86.534499
AMBEST Fuel Stop,Circle K 5357 - S. Bloomfield,US Hwy 23S MM17 / 5065 S Walnut St,S. Bloomfield,OH,43103,(740) 983-0460,39.715089,-82.987909
AMBEST Express,Circle K 5726 - Carroll,Hwy33/4400 Coonpath Road,Carroll,OH,43112,(740) 756-7293,39.77259,-82.68434
AMBEST Fuel Stop,Circle K 65 - Taylorsville,I-65 EXIT 76A,Taylorsville,IN,47280,(812) 526-9119,39.29608,-85.957719
AMBEST Fuel Stop,Circle K 6703 - Mokena,I-80 Exit 145,Mokena,IL,60448,(708) 479-4066,41.54276,-87.8512
AMBEST Fuel Stop,Circle K 6716 - Yorkville,Rte 47 & Rte 71 / 2001 S Bridge St,Yorkville,IL,60560,(630) 553-3796,41.61872,-88.44853
AMBEST Fuel Stop,Circle K 6799 - Bridgeview,I-55 Exit 283,Bridgeview,IL,60455,(708) 594-1430,41.763579,-87.800809
AMBEST Fuel Stop,Circle K 95 - Henderson,3113 Hwy 41 N,Henderson,KY,42420,(270) 826-5144,37.88313,-87.5634
AMBEST Fuel Stop,Circle K#4701686-St. Peters,I-70W EXIT 225,St. Peters,MO,63376,(636) 875-7706,38.81589,-90.55988
AMBEST Fuel Stop,Clark Oil #31-Biloxi,I-10 Exit 44,Biloxi,MS,39530,(228) 392-3110,30.44714,-88.933959
AMBEST Fuel Stop,Clark Oil #49-Laurel,US Hwy 84,Laurel,MS,39440,(601) 428-8360,31.69342,-89.16785
AMBEST Fuel Stop,Clinton Valero,I-78 Exit 17,Clinton,NJ,8809,(908) 730-0637,40.65337,-74.91207
AMBEST Travel Center,Cloverdale Travel Plaza,I-70 Exit 41,Cloverdale,IN,46120,(765) 795-3223,39.530909,-86.803169
AMBEST Travel Center,Common Cents #212,I-90 Exit 20,Sheridan,WY,82801,(307) 675-2095,44.83536,-106.97147
AMBEST Travel Center,Common Cents Travel Plaza 125,I-90 Exit# 61 BYP Highway 16,Rapid City,SD,57701,(605) 791-0157,44.106079,-103.15258
AMBEST Travel Center,Coopersville Truck Stop,I-96 Exit 19,Coopersville,MI,49404,(616) 384-8200,43.05456,-85.90809
AMBEST Express,Crater Lake Junction Travel Center,US Hwy 97 & Hwy 62,Chiloquin,OR,97624,(541) 783-9800 ext4,42.534669,-121.8846
AMBEST Travel Center,Creek Travel Plaza,I-65 Exit 54,Atmore,AL,36502,(251) 368-0088,31.08678,-87.53847
AMBEST Travel Center,Cubbies Travel Center,I-30 Exit 165,Mt. Pleasant,TX,75455,(903) 576-1800,33.196649,-94.92072
AMBEST Travel Center,Deerfield Travel Center,I-55 Exit 8 Hwy 61,Steele,MO,63877,(573) 695-2810,36.08836,-89.813469
AMBEST Fuel Stop,Dodge City Shell Fuel Stop,I-65 Exit 299,Dodge City,AL,35077,(256) 287-0548,34.05209,-86.869259
AMBEST Express,Dorr Truck Stop,US Hwy 131,Wayland,MI,49348,(616) 877-4500,42.72531,-85.676249
AMBEST Fuel Stop,Eddie's Truck & Auto Center,US Hwy 20/395 & Hwy 78,Hines,OR,97738,(541) 573-2639,43.54755,-119.08637
AMBEST Fuel Stop,Energy Express Travel Center,4500 N Broadway,St. Louis,MO,63147,(314) 241-0527,38.6732,-90.202809
AMBEST Fuel Stop,Enmarket NER #1329 - Pooler,I-95 Exit 102/US-80,Pooler,GA,31322,(912) 748-7619,32.100499,-81.22229
AMBEST Fuel Stop,Enmarket NER #1333 - Port Wentworth,I-95 Exit 109 @ GA HWY 21,Port Wentworth,GA,31407,(912) 964-1593,32.189259,-81.193219
AMBEST Fuel Stop,Enmarket NER #1396 - Branchville,US Hwy 21 & 78,Branchville,SC,29432,(803) 274-8040,33.250439,-80.81671
AMBEST Fuel Stop,Enmarket NER #1397 - Cope,US Hwy 301,Cope,SC,29038,(803) 534-7931,33.354379,-81.016249
AMBEST Travel Center,Enmarket NER #1403 - Hardeeville,I-95 Exit 8,Hardeeville,SC,29927,(843) 784-3181,32.312019,-81.05696
AMBEST Travel Center,Enmarket NER #1404 - Harleyville,I-26 Exit 172A,Harleyville,SC,29448,,33.28267,-80.5154
AMBEST Travel Center,Ernie's Truck Plaza Inc,1035 N Main,Beaver,UT,84713,(435) 438-5846,38.28819,-112.64202
AMBEST Fuel Stop,Fastbreak #6,US Hwy 50 / US Hwy 150 / US Hwy 41,Vincennes,IN,47591,(812) 316-0200,38.69438,-87.496709
AMBEST Travel Center,Florida 595 Truck Stop,I-595/I-95 Rte 441 & FL TNPK Exit 8,Davie,FL,33314,(954) 357-1480,26.08697,-80.2107
AMBEST Fuel Stop,Friendly Gus #12,I-16 Exit 49,Dublin,GA,31021,(478) 272-8409,32.4994,-82.976839
AMBEST Travel Center,Friendly Gus #23,I-16 Exit 54,Dublin,GA,31021,(478) 272-2256,32.482909,-82.895979
AMBEST Travel Center,Friendly Gus #24,I-16 Exit 54 @ Hwy 19,Dublin,GA,31021,(478) 275-3844,32.488399,-82.895039
AMBEST Fuel Stop,Friendly Gus #25 - Dudley,US Hwy 80,Dudley,GA,31022,(478) 676-3047,32.542549,-83.071079
AMBEST Travel Center,Frog City Travel Plaza,I-10 Exit 87 LA 35,Rayne,LA,70578,(337) 334-3764,30.250599,-92.2677
AMBEST Travel Center,Fuel America Travel Center-Encinal,I-35 @ Exit 32,Encinal,TX,78019,(956) 948-5290,28.04519,-99.353629
AMBEST Travel Center,Fuel America Travel Center-Laredo,I-35 @ Killiam Industrial Blvd,Laredo,TX,78045,(956) 602-1083,27.619399,-99.5254
AMBEST Fuel Stop,Fuel City Dallas,I-30 / I-35 Junction,Dallas,TX,75207,(214) 426-0011,32.766979,-96.80719
AMBEST Fuel Stop,Fuel City Friendly's,I-35 Exit 436,Dallas,TX,75220,(214) 624-5950,32.859079,-96.88136
AMBEST Fuel Stop,Fuel City Haltom City,State Hwy 121,Haltom City,TX,76117,(817) 484-0712,32.78275,-97.274039
AMBEST Fuel Stop,Fuel City Mesquite,US Hwy 80,Mesquite,TX,75149,(214) 301-0740,32.7916,-96.656419
AMBEST Travel Center,Fuel City Saginaw,I-820 Exit 15,Saginaw,TX,76131,(682) 200-7373,32.848779,-97.34429
AMBEST Fuel Stop,Fuel City Truck Stop Carlisle,I-81 Exit 44,Carlisle,PA,17013,(717) 254-6631,40.188429,-77.239469
AMBEST Fuel Stop,Fuel City Wylie,State Hwy 78,Wylie,TX,75098,(214) 237-0888,33.023699,-96.518879
AMBEST Travel Center,Fuel Expresso 11 - Lebo,2754 Hwy 75 NW,Lebo,KS,66856,(620) 256-6280,38.42685,-95.72928
AMBEST Fuel Stop,Fuel Expresso 17 - Ottawa,I-35 Exit 187 at Hwy 68,Ottawa,KS,66067,(785) 242-5314,38.62229,-95.234729
AMBEST Travel Center,Fuel Mart 645,I-90 Exit 353,Spencer,SD,57374,(605) 449-4626,43.6629,-97.58744
AMBEST Fuel Stop,Fuel Mart 727,I-70 Exit 193,Quaker City,OH,43773,(740) 758-5920,40.05346,-81.32747
AMBEST Fuel Stop,Fuel Mart 764,I-70 Exit 66,South Vienna,OH,45369,(937) 568-9451,39.935519,-83.611279
AMBEST Express,Fuel Mart 783,I-65 Exit 34,Austin,IN,47102,(812) 794-2615,38.741169,-85.822109
AMBEST Express,Fuel N Treat,I-70 Exit 84,Nelson,MO,65347,(660) 859-2430,38.953859,-93.08719
AMBEST Travel Center,FuelMaster,I-70 Exit 137,Cambridge City,IN,47327,(765) 478-5555,39.84935,-85.144739
AMBEST Express,Gallops-Goshen,US Hwy 20,Goshen,IN,46528,(574) 293-1000,41.66803,-85.82008
AMBEST Express,Gallops-Kendallville,US Hwy 6,Kendallville,IN,46755,(260) 349-1581,41.450389,-85.286699
AMBEST Fuel Stop,Gallops-LaPorte,US Hwy 20,LaPorte,IN,46350,(219) 325-0034,41.685479,-86.737449
AMBEST Express,Gallops-Michigan City,US Hwy 20,Michigan City,IN,46360,(219) 878-9778,41.68126,-86.9315
AMBEST Fuel Stop,Gallops-Middlebury,US Hwy 131,Middlebury,IN,46540,(574) 825-7472,41.755369,-85.68031
AMBEST Fuel Stop,Gas N Wash-Bourbonnais,I-57 Exit 318,Bourbonnais,IL,60914,(815) 523-1260,41.20622,-87.877319
AMBEST Travel Center,Gearjammer Truck Plaza,I-82 Exit 36 at US 97,Yakima,WA,98903,(509) 248-9640,46.5687,-120.47291
AMBEST Fuel Stop,Gill Sidhu Chevron,I-80 Exit 67,Dixon,CA,95620,(707) 678-4400,38.489469,-121.80503
AMBEST Fuel Stop,Good 2 Go # 717,I-25 exit 145;  711 E. Fillmore Street,Colorado Spriings,CO,80907,(719) 501-1791,38.87359,-104.81254
AMBEST Fuel Stop,Good 2 Go #418,I-15 Exit 233,Mona,UT,84695,(435) 627-3915,39.82171,-111.835849
AMBEST Express,Good 2 GO #504 Casa Grande,1000 W Gila Bend Highway,Casa Grande,AZ,85122,(870) 312-9199,32.879959,-111.775
AMBEST Fuel Stop,Good 2 Go Travel Center #121,I-15 Exit 113,Idaho Falls,ID,83402,(208) 417-3497,43.437959,-112.11573
AMBEST Fuel Stop,GRUB MART STORES,US Highway 411,Centre,AL,35960,(256) 927-7700,34.16022,-85.7094
AMBEST Express,H&S Truck Stop Dunnigan,I-5 Exit 554,Dunnigan,CA,95937,(530) 654-1959,38.86103,-121.95619
AMBEST Travel Center,H&S Truck Stop Tracy,I-205 Exit 8,Tracy,CA,95304,(209) 879-0084,37.765369,-121.43464
AMBEST Fuel Stop,Hampton Mobil,I-78 at Hwy 31,Hampton,NJ,8827,(908) 537-0801,40.71873,-74.96997
AMBEST Travel Center,Hat Six Travel Center,I-25 Exit 182,Evansville,WY,82636,(307) 234-0504,42.847059,-106.21601
AMBEST Fuel Stop,Henderson Travel Plaza,I-10 EXIT 115,Breaux Bridge,LA,70517,(337) 332-2090,30.31434,-91.83265
AMBEST Travel Center,Highway 84 Travel Center,I-59 Exit 97 / US Hwy 84,Laurel,MS,39440,(601) 649-9398,31.69732,-89.11448
AMBEST Express,Hilltop Marathon,I-75 Exit 270,Waters,MI,49797,(989) 732-4015,44.878779,-84.685569
AMBEST Fuel Stop,Hutch's 103 CK,I-40 Exit 34 (1 mile North),Elk City,OK,73644,,35.408549,-99.471059
AMBEST Express,Hutch's 113 CK,Hwy 270 at Hwy 412 183 15,Woodward,OK,73801,,36.434109,-99.42731
AMBEST Fuel Stop,Hutch's 114 CK,Hwy 81 (3206 S Van Buren),Enid,OK,73703,,36.360639,-97.89094
AMBEST Fuel Stop,Hutch's 118 CK,Hwy 281 & Hwy 270,Watonga,OK,73772,,35.842179,-98.41996
AMBEST Fuel Stop,Hutch's 119 CK,I-40 EXIT 40,Elk City,OK,73644,,35.408329,-99.38035
AMBEST Fuel Stop,Hutch's 120 CK,I-40 Exit 25,Sayre,OK,73662,,35.30924,-99.632589
AMBEST Fuel Stop,Hutch's 125 - Altus CK,HWY 62/283 Bypass,Altus,OK,73522,,34.667009,-99.316059
AMBEST Fuel Stop,Hutch's 128 - Anadarko CK,US Hwy 62,Anadarko,OK,73005,,35.073009,-98.243229
AMBEST Travel Center,I-80 Travel Plaza,I-80 Exit 221,Sinclair,WY,82334,(307) 324-4407,41.77344,-107.08439
AMBEST Travel Center,Irving Fairfield,I-95 Exit 133,Fairfield,ME,4937,(207) 238-9979,44.5957,-69.617239
AMBEST Travel Center,Irving Kittery,I-95 Exit 2 Rt. 1 & I-236,Kittery,ME,3904,(207) 451-9780,43.099119,-70.747529
AMBEST Fuel Stop,J Mart #1,Old US Hwy 50,Garden City,KS,67846,(620) 275-0258,37.98827,-100.91545
AMBEST Express,J&H Family Stores-Grand Ledge,I-96 Exit 86,Grand Ledge,MI,48837,(517) 622-0770,42.797719,-84.73868
AMBEST Travel Center,Jacks Truck Stop,I-65 Exit 304 at Hwy 69 North,Cullman,AL,35055,(256) 739-0220,34.11569,-86.862769
AMBEST Travel Center,Jim's Truck Plaza,I-90 Exit 52E,Buffalo,NY,14225,(716) 683-9931,42.906829,-78.758529
AMBEST Travel Center,JJ Travel Plaza,I-70 Exit 70,Oakley,KS,67748,(785) 672-3900,39.18621,-100.86879
AMBEST Travel Center,Joe's Travel Plaza 11,I-5 Exit 441 / 4415 Howard Rd,Westley,CA,95387,(209) 894-3040,37.538409,-121.26376
AMBEST Travel Center,JP Cartersville Truck Center,I-75 Exit 293,Cartersville,GA,30121,(678) 972-7675,34.241459,-84.77468
AMBEST Travel Center,JP Travel Center Hwy 16,I-75 Exit #205/Hwy 16,Jackson,GA,30233,(470) 928-2300,33.260249,-84.09802
AMBEST Fuel Stop,JP Travel Lee Road,I-20 Exit 41,Lithia Springs,GA,30122,(770) 941-3460,33.771569,-84.653
AMBEST Travel Center,Jubitz Travel Center,I-5 Exit 307,Portland,OR,97217,(503) 283-1111 ext3,45.59678,-122.66828
AMBEST Travel Center,K&H Travel Plaza,I-57 Exit 283,Gilman,IL,60938,(815) 265-7625,40.753019,-87.996039
AMBEST Fuel Stop,Kangaroo Crossing #1101 - Pickens,I-55 Exit 144,Pickens,MS,39146,(662) 472-2674,32.943829,-89.979609
AMBEST Fuel Stop,Kangaroo Crossing #1107 - Pelahatchie,I-20 Exit 68,Pelahatchie,MS,39145,(601) 854-5200,32.294899,-89.804289
AMBEST Travel Center,Kangaroo Crossing #1108-Mendenhall,US Hwy 49,Mendenhall,MS,39114,(601) 675-1183,31.99465,-89.89914
AMBEST Fuel Stop,Kim's Travel Plaza #26-Atlanta,US Hwy 59,Atlanta,TX,75551,(903) 723-8585,33.10643,-94.19669
AMBEST Fuel Stop,Kim's Travel Plaza #44-Pittsburg,US Hwy 271,Pittsburg,TX,75686,(903) 855-8011,33.024389,-94.96384
AMBEST Travel Center,La Media Travel Center,SH 905 / SH 125,San Diego,CA,92154,(619) 671-0700,32.568449,-116.96149
AMBEST Express,Last Stop Travel Center,N US HWY 93,White Hills,AZ,86445,(928) 275-1543,35.716149,-114.4855
AMBEST Fuel Stop,Ledgewood BP,I-80 Exit 28,Ledgewood,NJ,7852,(973) 810-3616,40.88964,-74.66334
AMBEST Travel Center,Little America Fuel Center,I-80 Exit 68,Little America,WY,82929,(307) 875-2400,41.544069,-109.8591
AMBEST Travel Center,Little America Travel Center-Cheyenne,I-25/I-80 Exit 9 - 358 at Lincolnway,Cheyenne,WY,82009,(307) 775-8451,41.117669,-104.85626
AMBEST Travel Center,Little America Travel Center-Flagstaff,I-40 Exit 198,Flagstaff,AZ,86003,(928) 779-7942,35.19183,-111.6186
AMBEST Travel Center,London Travel Plaza,I-75 Exit 41,London,KY,40741,(606) 864-6426,37.146839,-84.115179
AMBEST Travel Center,Lost Hills Travel Center,I-5 Exit 278 at HWY 46,Lost Hills,CA,93249,(661) 797-2354,35.614899,-119.656319
AMBEST Express,Lucky Travel Plaza,I-80 Exit 165,Soda Springs,CA,95728,(916) 765-3584,39.309579,-120.54433
AMBEST Travel Center,Lupton Truck Stop #567,I-40 Exit 359,Lupton,AZ,86508,(520) 201-5255,35.36319,-109.04827
AMBEST Travel Center,M-46 Truck Stop,US Hwy 131 Exit 120,Howard City,MI,49329,(231) 937-4090,43.42501,-85.47477
AMBEST Travel Center,Mach 1 #12 West Frankfort,I-57 Exit 65,West Frankfort,IL,62896,(618) 767-5819,37.89786,-88.952119
AMBEST Travel Center,Mach 1 #13 - Marion,I-57 Exit 53,Marion,IL,62959,(217) 540-2956,37.729649,-88.95171
AMBEST Express,Mach 1 #24 - Tilton,I-74 Exit 215A,Tilton,IL,61832,(217) 909-4535,40.09881,-87.63445
AMBEST Travel Center,Marion Travel Center,I-55 Exit 14,Marion,AR,72364,(870) 559-5025,35.26124,-90.226119
AMBEST Fuel Stop,Maryland House Sunoco,I-95 Exit 82,Aberdeen,MD,21001,(410) 272-3854,39.498649,-76.230549
AMBEST Express,Meskwaki Travel Plaza,US HWY 30,TAMA,IA,52339,(641) 484-9341,41.99868,-92.674809
AMBEST Travel Center,Midwest Petroleum #2-Fredericktown,US Hwy 67,Fredricktown,MO,63645,(573) 783-3609,37.490989,-90.306749
AMBEST Fuel Stop,Midwest Petroleum #30 - St. James,I-44 Exit 195,St. James,MO,65559,(573) 261-4087,38.002809,-91.618009
AMBEST Fuel Stop,Millers Travel Centers - Wellington,2195 E Main St,Wellington,UT,84542,(435) 636-0380,39.54317,-110.68904
AMBEST Fuel Stop,Mobil-Queens Market,I-85 Exit 41,Charlotte,NC,28262,(980) 226-5059,35.28107,-80.79393
AMBEST Express,Mountain View Truck Stop,US Hwy 15,Thurmont,MD,21788,(301) 271-3333,39.61507,-77.41737
AMBEST Travel Center,Muralt's Travel Plaza,I-90 & Hwy 93 Exit 96,Missoula,MT,59808,(406) 728-4700,46.955179,-114.13014
AMBEST Fuel Stop,Mykawa Truck Stop,I-610 Exit 34A,Houston,TX,77033,(832) 859-9611,29.67594,-95.321979
AMBEST Fuel Stop,Nacogdoches Truck Stop,US Hwy 259,Nacogdoches,TX,75968,(936) 559-5798,31.70399,-94.677769
AMBEST Fuel Stop,Nashville Knapp Mart,I-64 Exit 50,Nashville,IL,62263,(618) 464-9300,38.375059,-89.371809
AMBEST Travel Center,Newborn Truck Stop,I-20 Exit 5,Tallapoosa,GA,30176,(770) 574-5082,33.681699,-85.263229
AMBEST Travel Center,North Point Plaza,I-90/94 Exit 115,Poynette,WI,53955,(608) 635-7139,43.39314,-89.46192
AMBEST Fuel Stop,Oasis Stop 'N Go #17,US Hwy 30/3204 Kimberly Rd,Twin Falls,ID,83301,(208) 944-9312,42.54791,-114.42092
AMBEST Travel Center,Oasis Travel Center,I-10 Exit 53 at Hwy 64,Robertsdale,AL,36567,(251) 960-1150,30.630649,-87.615769
AMBEST Travel Center,Olsons Truck Stop,I-94 Exit 183,Hasty/Clearwater,MN,55320,(763) 878-1655,45.366729,-93.97562
AMBEST Fuel Stop,OnCue #147-Oklahoma City,I-44 Exit 112,Oklahoma City,OK,73159,(405) 479-8224,35.36375,-97.581819
AMBEST Fuel Stop,OnCue 136,I-35 Exit 124A,Oklahoma City,OK,73129,(405) 469-4458,35.42689,-97.48444
AMBEST Fuel Stop,Onvo Express - Harford,I-81 Exit 217 5076 State Route 547,Harford,PA,18823,(570) 434-2608,41.78611,-75.6841
AMBEST Express,Onvo Travel Plaza - Avis,US Hwy 220 Exit 118,Avis,PA,17721,(570) 873-3117,41.180729,-77.32607
AMBEST Fuel Stop,Onvo Travel Plaza - Bethel,I-78 Exit 13,Bethel,PA,19507,(717) 933-2066,40.477899,-76.295969
AMBEST Travel Center,Onvo Travel Plaza - Blakeslee,I-80 Exit 284,Blakeslee,PA,18610,(570) 643-1000,41.078679,-75.5792
AMBEST Travel Center,Onvo Travel Plaza - Canaan,I-90 Exit B3,Canaan,NY,12029,(518) 781-4144,42.36131,-73.427189
AMBEST Travel Center,Onvo Travel Plaza - Dorrance,I-81 Exit 155,Mountain Top,PA,18707,(570) 868-8614,41.082819,-75.960599
AMBEST Express,Onvo Travel Plaza - Duncannon,3298 Susquehanna Trail,Duncannon,PA,17020,(717) 834-4000,40.44773,-76.982249
AMBEST Travel Center,Onvo Travel Plaza - Fultonville,I-90 Exit 28,Fultonville,NY,12072,(518) 853-4601,42.94736,-74.35821
AMBEST Express,Onvo Travel Plaza - Gibson,I-81 Exit 219 2174 State Route 848,New Milford,PA,18834,(570) 465-3794,41.82334,-75.678659
AMBEST Travel Center,Onvo Travel Plaza - Gouldsboro,I-380 Exit 13 17 Main St,Gouldsboro,PA,18424,(570) 842-2211,41.233229,-75.49559
AMBEST Fuel Stop,Onvo Travel Plaza - Harford,I-81 Exit 217 5085 State Route 547,Harford,PA,18823,(570) 434-2330,41.787979,-75.684399
AMBEST Travel Center,Onvo Travel Plaza - Hickory Run,I-80 Exit 274 at State Rt. 534,White Haven,PA,18661,(570) 443-4437,41.062289,-75.749319
AMBEST Express,Onvo Travel Plaza - Highridge,I-81 Exit 119,Pottsville,PA,17901,(570) 399-5600,40.73259,-76.29703
AMBEST Fuel Stop,Onvo Travel Plaza - Lakewood (Greentown),I-84 Exit 20 1414 Route 507,Greentown,PA,18426,(570) 676-4303,41.3436,-75.312079
AMBEST Travel Center,Onvo Travel Plaza - Lounsberry,I-86 Exit 63,Nichols,NY,13812,(607) 687-3957,42.0641,-76.323759
AMBEST Fuel Stop,Onvo Travel Plaza - McGraw,I-81 Exit 10,McGraw,NY,13101,(607) 753-8007,42.588149,-76.130129
AMBEST Express,Onvo Travel Plaza - Mifflintown,Hwy 35 and 22,Mifflintown,PA,17059,(717) 436-8943,40.578409,-77.37469
AMBEST Travel Center,Onvo Travel Plaza - Mifflinville,US 22 & RT 35 - 9 Stop Plaza Drive,Mifflinville,PA,18631,(570) 752-9330,41.025559,-76.31743
AMBEST Travel Center,Onvo Travel Plaza - Mt. Cobb,I-84 Exit 8,Lake Ariel,PA,18436,(570) 689-3900,41.40858,-75.50591
AMBEST Travel Center,Onvo Travel Plaza - Pinegrove,I-81 Exit 104 10 Molleystown Rd,Pine Grove,PA,17963,(570) 345-2498,40.590859,-76.407709
AMBEST Fuel Stop,Onvo Travel Plaza - Promised Land,I-84 Exit 26 624 Route 390,Tafton,PA,18464,(570) 857-1515,41.36254,-75.20093
AMBEST Fuel Stop,Onvo Travel Plaza-New Smithville,I-78 Exit 45,Kutztown,PA,19530,(610) 285-2852,40.58133,-75.706729
